,property_title,price,area,room,bath,garage,address
539,"Apartamento com 2 Quartos à Venda, 81m²",R$ 840.000,81,2 Quartos,2 Banheiros,1 Vaga,"Avenida Vinte e Três de Maio, 2952 - Vila Mariana, São Paulo - SP"
540,"Apartamento com 2 Quartos à Venda, 56m²",R$ 269.990,56,2 Quartos,1 Banheiro,1 Vaga,"Avenida Raimundo Pereira de Magalhães, 1720 - Jardim Íris, São Paulo - SP"
541,Just,R$ 650.000,60-71,2 Quartos,2 Banheiros,1-2 Vagas,"Avenida Brigadeiro Luís Antônio, 499 - Bela Vista, São Paulo - SP"
542,"Apartamento com 2 Quartos à Venda, 92m²",R$ 1.640.000,92,2 Quartos,3 Banheiros,2 Vagas,"Rua Pássaros e Flores - Brooklin, São Paulo - SP"
543,"Apartamento com 3 Quartos à Venda, 100m²",R$ 900.000,100,3 Quartos,4 Banheiros,2 Vagas,"Rua José de Cristo Moreira, 390 - Morumbi, São Paulo - SP"
544,"Apartamento com 3 Quartos à Venda, 127m²",R$ 725.000,127,3 Quartos,4 Banheiros,3 Vagas,"Rua Tiquatira, 497 - Bosque da Saúde, São Paulo - SP"
545,"Apartamento com Quarto à Venda, 29m²",R$ 408.000,29,1 Quarto,1 Banheiro,-- Vaga,"Avenida Miruna, 51 - Moema, São Paulo - SP"
546,"Apartamento com 3 Quartos à Venda, 300m²",R$ 5.290.000,300,3 Quartos,5 Banheiros,2 Vagas,"Rua Padre João Manuel, 328 - Jardins, São Paulo - SP"
547,"Apartamento com 2 Quartos à Venda, 54m²",R$ 550.000,54,2 Quartos,2 Banheiros,1 Vaga,"Rua Domingos Rodrigues, 509 - Lapa, São Paulo - SP"
548,BELLA VISTA PAULICEIA,R$ 485.000,48,2 Quartos,1 Banheiro,-- Vaga,"Rua Francisca Miquelina, 277 - Bela Vista, São Paulo - SP"
549,"Apartamento com 3 Quartos à Venda, 87m²",R$ 810.000,87,3 Quartos,2 Banheiros,2 Vagas,"Rua das Flechas, 649 - Vila Santa Catarina, São Paulo - SP"
550,"Apartamento com 2 Quartos à Venda, 77m²",R$ 1.200.000,77,2 Quartos,2 Banheiros,2 Vagas,"Rua Topázio, 701 - Vila Mariana, São Paulo - SP"
551,"Apartamento com 2 Quartos à Venda, 46m²",R$ 450.000,46,2 Quartos,1 Banheiro,1 Vaga,"Rua Alfredo Pujol, 451 - Santana, São Paulo - SP"
552,"Apartamento com 2 Quartos à Venda, 70m²",R$ 670.000,70,2 Quartos,2 Banheiros,2 Vagas,"Rua Ribeiro do Amaral, 565 - Ipiranga, São Paulo - SP"
553,"Apartamento com 3 Quartos à Venda, 124m²",R$ 1.580.000,124,3 Quartos,4 Banheiros,3 Vagas,"Rua Natingui, 165 - Vila Madalena, São Paulo - SP"
554,"Apartamento com 3 Quartos à Venda, 170m²",R$ 1.170.000,170,3 Quartos,3 Banheiros,3 Vagas,"Rua João Antônio de Oliveira, 544 - Móoca, São Paulo - SP"
555,Bella Vista Pauliceia,R$ 403.000,39-107,1-2 Quartos,1 Banheiro,1 Vaga,"Rua Francisca Miquelina, 277 - Bela Vista, São Paulo - SP"
556,"Apartamento com 2 Quartos à Venda, 50m²",R$ 450.000,50,2 Quartos,1 Banheiro,1 Vaga,"Rua Muniz de Sousa, 644 - Aclimação, São Paulo - SP"
557,"Apartamento com 2 Quartos à Venda, 64m²",R$ 470.000,64,2 Quartos,2 Banheiros,1 Vaga,"Rua Dona Ana Neri - Cambuci, São Paulo - SP"
558,"Apartamento com 2 Quartos à Venda, 45m²",R$ 248.000,45,2 Quartos,1 Banheiro,1 Vaga,"Rua Antônio Ambuba, 70 - Parque Munhoz, São Paulo - SP"
559,"Apartamento com Quarto à Venda, 51m²",R$ 400.000,51,1 Quarto,1 Banheiro,-- Vaga,"Avenida Angélica, 177 - Santa Cecília, São Paulo - SP"
