property_describe|price|area|room|bath|garage|address
COND. RESIDENCIAL SINTRA Apartamento sendo porteira fechada em Lagoa Nova; sai apenas objetos pessoais. Apartamento amplo e próximo ao Arena das Dunas e o Hospital Promater; com 18...|R$ 650.000|180 m²|3|5|2|Rua Tereza Campos, Lagoa Seca
Ligue e saiba mais informações sobre o apartamento: WhatsApp e Ligações Emerson Rodrigo CRECI 7093 Vende-se este ótimo apartamento no bairro de Barro Vermelho, ótima localização,...|R$ 259.997|55 m²|2|2|1|Rua Desembargador Régulo Tinoco, Barro Vermelho
Vendo apartemento Cond. Central Park. 2 /4 sendo 1 suite, sala, cozinha, area de Serviços, Varanda, BWC social. 67m² , 2 vagas garagem. Armarios nos quartos, cozinha e BWC´s. -|R$ 340.000|67 m²|2|2|2|Neópolis, Natal
RESIDENCIAL CALIFÓRNIA Rua Sérgio severo, 1341 . Apartamento a Venda 60m² . 2/4 Cozinha americana Wc social Sala 1 vaga de garagem coberta MOBILIADO Tx Condomínio 600 IPTU 1.100...|R$ 180.000|60 m²|2|1|1|Lagoa Nova, Natal
Charmoso e espaçoso apartamento em Candelária, com excelente localidade, próximo ao Arena das Dunas, Restaurantes, Hospitais, e todo conforto que o Bairro de Candelária possui. O...|R$ 330.000|100 m²|3|2|1|Rua São José, Candelária
Apartamento em Neópolis/RN de 57m². 2 quartos CÓDIGO DO IMÓVEL: AP1793729 Entre em contato preenchendo o formulário e informe sempre um telefone para receber todas as informações...|R$ 115.000|57 m²|2|1|1|Rua Minas Novas, Neópolis
O apartamento no bairro Ponta Negra possui 58 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui academia, espaço gourmet, jardim, parquinho com diferentes brinquedo...|R$ 225.000|57 m²|2|2|3|Avenida Deputado Antônio Florêncio de Queiroz, Ponta Negra
AP00094 Excelente apartamento lado da sombra e muito ventilado, com três quartos, sendo um suíte, sala de estar e jantar, banheiro social, cozinha, área de serviço, dependência com...|R$ 240.000|102 m²|3|2|1|Candelária, Natal
Vendemos apto no Residencial Mirante Serra de Martins - Lagoa Nova. More no coração de Lagoa Nova, vizinho a Padaria Mercatto, Colégio Cei, Hiper Bompreço e ao Midway Mall. Apto...|R$ 830.000|136 m²|3|5|2|Rua Antídio de Azevedo, Lagoa Nova
Estamos com essa grande oportunidade de Repasse!!! Apartamento novo, nunca habitado, 02 quartos sendo 01 suíte, sala para 02 ambientes, cozinha, banheiro social, uma vaga de garage...|R$ 95.000|55 m²|2|1|2|Rua Rio Paranapanema, Pitimbu
Apartamento com 101m² com 03 quartos, porém 01 quarto foi feito closet, podendo voltar a ser o 3º quarto, 03 banheiros, sala ampla com cozinha aberta, possibilitando diversas mudan...|R$ 720.000|79 m²|3|3|1|Ponta Negra, Natal
Apartamento de 86m² voltado para o nascente de três quartos sendo um suíte, banheiro social com projetados, banheiro de serviço, cozinha, área de serviço, sala para dois ambientes,...|R$ 320.000|86 m²|3|3|2|Ponta Negra, Natal
"Apartamento à venda em Ponta Negra (Natal/RN) | Residencial Verano, 56m. Apartamento a venda em ponta negra de dois quartos. Inserido em um condomínio com uma estrutura de lazer..."|R$ 265.000|56 m²|2|2|2|Rua da Campina, Ponta Negra
Localizado em Tambaú, o 360 House é um empreendimento único, inteligente, diferenciado e com uma localização privilegiada. Ele busca trazer comodidade, com a sensação de morar em u...|R$ 1.007.000|140 m²|3|5|5|Rua Silvino Lopes, Tambaú
"Oportunidade de Lançamento! Apartamentos à beira-mar | Venha viver um sonho tropical na na Praia do Cabo Branco, em João Pessoa/PB. Localizado à beira-mar da orla mais bonita do..."|R$ 1.907.330|130 m²|3|3|3|Avenida Cabo Branco, Cabo Branco
Apartamento mais moderno do Altiplano! 5 suítes, com 405 m2 e pé direito duplo na varanda Localizado no Bairro mais nobre de João Pessoa, com restaurantes sofisticados, vista para...|R$ 3.800.000|405 m²|5|7|1|Rua Orlando Di Cavalcanti Villar, Altiplano Cabo Branco
"Apartamento com 51,17 m², 02 dormitórios, sala de estar e jantar, wc social, cozinha e área de serviço.
Condomínio com água e gás incluso."|R$ 160.000|51 m²|2|1|1|Neópolis, Natal
Apartamento Edifício Carlos Silva - 120 m² O Apartamento em ótima localização, dois apartamentos por andar, todo reformado com móveis planejados na cozinha.. O apartamento é no 2°...|R$ 430.000|120 m²|3|5|2|Rua Jaguarari, Barro Vermelho
Apartamento em Petrópolis com ótimo custo beneficio, são 170m² distribuídos em 03 quartos sendo 01 suíte com banheira de hidromassagem e armários, Sala ampla para 03 ambientes, ban...|R$ 370.000|170 m²|3|3|1|Petrópolis, Natal
OBS: 120.000 mil + Divida com a Caixa ou QUITADO 240.000 MIL PRESTAÇÃO PARA O SALDO DA CAIXA É R$ 1.400 POR MÊS. Apartamento está localizado no bairro Neópolis possui 50 metros q...|R$ 120.000|50 m²|2|2|1|Rua Sebastião Barreto, Neópolis
AP00083 Apartamento todo no porcelanato com dois quartos, banheiro social, sala de estar para dois ambientes, dependência completa de empregada, podendo converter facilmente os qua...|R$ 170.000|97 m²|2|2|2|Candelária, Natal
Apartamento com 2 dormitórios, sendo 1 suíte, sala, 2 banheiros e 1 vaga de garagem coberta.|R$ 128.000|53 m²|2|2|2|Planalto, Natal
O apartamento Nature está localizado no bairro Candelária tem 75 metros quadrados com 3 quartos sendo 1 suíte e 2 banheiros Possui academia, espaço gourmet, espaço jardinado, parqu...|R$ 390.000|75 m²|3|2|2|Rua Eletricista Elias Ferreira, Candelária
O apartamento está localizado no bairro Lagoa Nova tem 98 metros quadrados com 3 quartos sendo 2 suites e 3 banheiros Possui área de fitness, espaço gourmet, espaço jardinado, área...|R$ 690.000|98 m²|3|3|3|Rua Acari, Lagoa Nova
O apartamento está localizado no bairro Ponta Negra tem 57 m², com 2 quartos amplos sendo 1 suíte e 2 banheiros, cozinha americana com armários e sala para 2 ambientes com varanda...|R$ 170.000|57 m²|2|2|1|Rua Joaquim Eduardo de Farias, Ponta Negra
O apartamento no bairro Dix-Sept Rosado possui 76 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros Possui academia, espaço gourmet, parquinho com diferentes brinquedos, s...|R$ 340.000|76 m²|3|2|2|Avenida Interventor Mário Câmara, Dix-sept Rosado
Disponível para venda 🔑 Residencial LE RIVAGE -Petrópolis📍 Apartamento dispõe de: São 3 suítes Varanda Sala para 03 ambientes Área de serviço e dependência. 03 vagas de garage...|R$ 700.000|120 m²|3|4|1|Avenida Tavares de Lira, Petrópolis
O apartamento está localizado no bairro Petrópolis possui 56 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui espaço para festas, área de fitness.Churrasqueira par...|R$ 240.000|56 m²|2|2|2|Rua Desembargador Dionísio Filgueira, Petrópolis
Condomínio em construção em Lagoa Nova, Entrada a partir de 20mil e diferença paga até a entrega banco financia até 80& do valor do imóvel (valor final direto pelo WhatsApp)...|R$ 30.000|55 m²|2|2|1|Rua da Saudade, Lagoa Nova
O apartamento no bairro Ponta Negra com 59 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui academia, espaço gourmet, espaço jardinado, parquinho infantil, salão d...|R$ 350.000|59 m²|2|2|1|Rua Tenente Olavo Francisco dos Santos, Ponta Negra
Apartamento em Lagoa Nova no edifício Adriano Vidal, localizado nas imediações da Promater, com 156m, voltado para o nascente, composto de 3 quartos sendo 1 suíte, sala para 2 ambi...|R$ 390.000|156 m²|3|3|2|Rua José Ribeiro Dantas, Lagoa Nova
Vendo excelente oportunidade em lagoa nova muito próximo ao hospital do coração, padarias, e comercio no geral. O apartamento amplo com 90 metros quadrados bem distribuídos em 2 q...|R$ 160.000|90 m²|2|2|1|Rua Coronel Auris Coelho, Lagoa Nova
apartamento na zona norte venha viver em um ambiente familiar em apto arejado na sombra pronto para sua família viver em paz 15 minutos do norte shopping super mercado Nordestão do...|R$ 99.000|58 m²|2|1|2|Rua Construtor Severino Bezerra, Redinha
AP00105 Apartamento com dois quartos sendo um suíte, banheiro social, sala de estar e jantar, cozinha com armários, despensa, área de serviço e duas vagas de garagem coberta.. Água...|R$ 200.000|85 m²|2|2|2|Candelária, Natal
AUGUSTO LUMIERE Apartamento 2 quartos no Condomínio Augusto Lumiere - NEOPOLIS. Apartamento com 57M2, distribuídos em 2 quartos, varanda, sala para 2 ambientes, cozinha, área...|R$ 220.000|57 m²|2|2|4|Rua Sebastião Barreto, Neópolis
Apartamento com 2 dormitórios sendo 1 suite master, área de serviço, churrasqueira coletiva, dormitório com armário, piscina, playground, salão de festas. Condomínio está instaland...|R$ 400.000|85 m²|2|2|1|Nova Descoberta, Natal
Excelente apartamento no Residencial Sun Gardens Aceita financiamento Bancário Andar Alto CARACTERÍSTICAS: - 2 Quartos sendo 1 Suíte - Ar condicionado nos quartos e sala, - Um wc...|R$ 220.000|57 m²|2|2|2|Pitimbu, Natal
Oportunidade! Apartamento com 4 suítes no Altiplano Nobre. Última Unidade. Localizado no Bairro mais nobre de João Pessoa, com restaurantes sofisticados, vista para o mar e tranqu...|R$ 2.383.656|307 m²|4|6|2|Rua Orlando Di Cavalcanti Villar, Altiplano Cabo Branco
**Condições especiais diretamente com a construtora. A MRV apresenta a oportunidade para você conquistar o seu 1° apê em João Pessoa. Venha ser feliz no Parque Jardim da Costa. Co...|R$ 141.690|41 m²|2|1|3|Rua Maurício de Araújo Gama Filho, Altiplano Cabo Branco
O mais completo condominio-clube de Campina Grande! Em uma localização privilegiada! Últimas Unidades Em área nobre de Campina Grande, o Palazzo Roberto Pinto fica em uma localiz...|R$ 547.244|92 m²|3|3 - 4|1|Rua Arnaldo de Albuquerque, Lauritzen
Vendo apartemento Cond. Central Park. 2 /4 sendo 1 suite, sala, cozinha, area de Serviços, Varanda, BWC social. 67m² , 2 vagas garagem. Armarios nos quartos, cozinha e BWC´s. -|R$ 340.000|67 m²|2|2|2|Neópolis, Natal
Apartamento Edifício Carlos Silva - 120 m² O Apartamento em ótima localização, dois apartamentos por andar, todo reformado com móveis planejados na cozinha.. O apartamento é no 2°...|R$ 430.000|120 m²|3|5|2|Rua Jaguarari, Barro Vermelho
02 suítes com vista mar, sala para 02 ambientes, varanda com vista mar, cozinha, vaga de garagem coberta. COMPRA – VENDA – ALUGUEL –- AVALIAÇÃO - SERVIÇOS DE DESPACHANTE CORRETO...|R$ 280.000|48 m²|2|2|1|Avenida Governador Sílvio Pedroza, Areia Preta
Disponível para venda 🔑 Lacqua Condomínio Clube 📍 Rua Lúcia Viveiros 92m2 3 quartos sendo 1 suíte + Dependência de Empregada 2 vagas de garagem 1º andar Lado da sombra, supe...|R$ 409.990|92 m²|3|2|1|Rua Lúcia Viveiros, Neópolis
Apartamento mobiliado com ambientação moderna e sofisticada. São 110,00 m² de área privativa com vista panorâmica para o mar. 2 suítes, cozinha americana, dormitórios com armários,...|R$ 950.000|110 m²|2|2|2|Rua das Algas, Ponta Negra
AP 0845 Venda de um excelente Apartamento no Life Style, ideal para quem não abre maão de uma excelente localização. O apartamento conta com 57 metros quadrados de área pri...|R$ 350.000|57 m²|2|2|2|Rua Tereza Campos, Lagoa Nova
Apartamento em Ponta Negra/RN de 37879m². 2 quartos CÓDIGO DO IMÓVEL: AP1781156 Entre em contato preenchendo o formulário e informe sempre um telefone para receber todas as inform...|R$ 125.000|74 m²|2|2|2|Avenida Ayrton Senna, Ponta Negra
Amplo apartamento semi-mobiliado, 4 quartos, 3 banheiros está disponível para visitação. Planta original, 4o andar, bem localizado, próximo a supermercado, academia, universidade,...|R$ 479.000|160 m²|4|3|1|Rua Ismael Pereira da Silva, Capim Macio
O apartamento no bairro Pitimbu com 57 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui espaço gourmet, jardim, área de brinquedo para as crianças, espaço para fes...|R$ 250.000|57 m²|2|2|1|Rua dos Pintassilgos, Pitimbu
Residencial Royal Palms, a melhor localização em Capim Macio A um quarteirão da Engenheiro Roberto Freire, perto do colégio salesiano e do Restaurante Tábua de Carne Com vista para...|R$ 870.000|141 m²|3|5|2|Capim Macio, Natal
Apartamento de 02 quartos em Lagoa Nova, 9º Andar, 01 suíte, 02 salas, 02 banheiros, 01 vaga de garagem coberta.|R$ 300.000|56 m²|2|2|2|Lagoa Nova, Natal
Apto com 58,00m² em ótimo estado de conservação, móveis projetados, 02 dormitórios sendo 01 suíte, varanda, sala de estar e jantar, wc social, cozinha, área de serviço. Condomínio...|R$ 210.000|58 m²|2|2|1|Pitimbu, Natal
Apartamento com3 dormitórios, sendo 2 suítes, 2 salas, varanda, 3 banheiros e 2 vagas de garagem cobertas.|R$ 875.000|102 m²|3|3|2|Lagoa Nova, Natal
AP00084 Apartamento com dois quartos, banheiro social, sala de estar, dependência completa de empregada, podendo converter facilmente em um suíte um dos quartos, cozinha, área de s...|R$ 160.000|58 m²|2|2|3|Candelária, Natal
OBS: ACEITA PROPOSTA - O apartamento está localizado no bairro Capim Macio com 103 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros. Possui área verde de jardim, área de...|R$ 190.000|103 m²|3|2|2|Rua Desembargador José Gomes da Costa, Capim Macio
Apartamento em Lagoa Nova/RN de 100m². 3 quartos CÓDIGO DO IMÓVEL: AP1774861 Entre em contato preenchendo o formulário e informe sempre um telefone para receber todas as informaçõ...|R$ 170.000|100 m²|3|3|1|Travessa São Vicente, Lagoa Nova
